relative_path,accession,title,pages,size,sha256,doi_found,relevance,status,repo_matches
AD1076777_OptimizationofDensePlasmaFocusbDPFbNeutronSourcesviaEx.pdf,AD1076777,Optimization of Dense Plasma Focus (DPF) Neutron Sources via Experiments and Kinetic Modeling,8,1221229,8b83e6b55436a2330973f06c6a4589f4ce2839dde381a3db175a0e442c509a64,,high,intake_unreviewed_not_KR,
AD1076777_OptimizationofbDensebbPlasmabFocusDPFNeutronSources.pdf,AD1076777,Optimization of Dense Plasma Focus (DPF) Neutron Sources via Experiments and Kinetic Modeling,8,1221229,8b83e6b55436a2330973f06c6a4589f4ce2839dde381a3db175a0e442c509a64,,high,intake_unreviewed_not_KR,
AD1079881_OptimizationofbDensebbPlasmabFocusDPFNeutronSources.pdf,AD1079881,Optimization of Dense Plasma Focus (DPF) Neutron Sources via Experiments and Kinetic Modeling,8,1224569,2c016fb54004f1a1a8ad3bdcc62826607d833adfe4b85cd01f66c3144f50689d,,high,already_in_repo_or_KR,docs/SCIENTIFIC_CLOSURE_SOURCE_QUEUE.md
AD1095975_SpatialDistributionofIonEmissioninGas-PuffZ-PinchesandbDens.pdf,AD1095975,Spatial Distri utionof Ion Emissionin Gas Puff Z Pinchesand Dens,14,2436279,7c486e76c3d7bf98edad1fe72172a82429356fa126d23d26960ba5166b4a764e,10.1088/1361-6587/ab6902,medium,intake_unreviewed_not_KR,
AD1095975_SpatialDistributionofIonEmissioninGas-PuffbZb-bPinches.pdf,AD1095975,Spatial Distri utionof Ion Emissionin Gas Puff Z Pinches,14,2436279,7c486e76c3d7bf98edad1fe72172a82429356fa126d23d26960ba5166b4a764e,10.1088/1361-6587/ab6902,medium,intake_unreviewed_not_KR,
AD1098588_AccelerationofProtonsandDeuteronsUpto35MevandGenerationof1.pdf,AD1098588,Accelerationof Protonsand Deuterons Upto35Mevand Generationof1,12,1852932,3f0ebd08020635ec18e73c84634f127c45097841b5e08ad32bb5dac4308416b0,10.1088/1361-6587/aadc99,medium,intake_unreviewed_not_KR,
AD1099126_EffectsofaPreembeddedAxialMagneticFieldontheCurrentDistribut.pdf,AD1099126,Effects of a Preembedded Axial Magnetic Field on the Current Distribution in a Z-Pinch Implosion,5,777106,fed533116bb5b7cce996d17ad3bbdeecfe0fbf0cc80c87b5b8cb85033402d9e6,10.1103/PhysRevLett.122.045001,medium,intake_unreviewed_not_KR,
AD1100306_SimulationsofabDensebbPlasmabFocusonaHigh-Impedance.pdf,AD1100306,Simulations of a Dense Plasma Focus on a High-Impedance Generator,5,1654297,0358c24d9e71dffd8ac423c60b212a782b66fb598294763fbd08fea5baae103e,10.1109/TPS.2018.2865188,high,intake_unreviewed_not_KR,
AD1101079_GuestEditorialSpecialIssueonZPinchbPlasmasb.pdf,AD1101079,Guest Editorial Special Issueon ZPinch Plasmas,2,86710,b1c47de6159d27310d16cf31493d12bf0ddf49b77cda9eea0cbe9cfa1e6ac53d,10.1109/TPS.2018.2875174,medium,intake_unreviewed_not_KR,
AD1123736_CharacterizationofElectronBeamsfromabDensebbPlasmabF.pdf,AD1123736,Characterization of Electron Beams from a Dense Plasma Focus,19,1191083,d48f6741c06bded703c9efa64d512819fb9f32c5dae0520049537211a1f5b2f4,,high,intake_unreviewed_not_KR,
AD1148035_RubricsforChargeConservingCurrentMappinginFiniteElementElectr.pdf,AD1148035,Ru ricsfor Charge Conserving Current Mappingin Finite Element Electr,16,1571544,7373140c775c282812b219b8d42c59f8db8d253a96041805c124bea568d5903f,,low,intake_unreviewed_not_KR,
AD1156411_RobustMaxwellSolversForLargeScalebParticleb-In-bCellb.pdf,AD1156411,Ro ust Maxwell Solvers For Large Scale Particle In Cell,138,2590906,cffb92861d5bb1cb99bec6bd915a905440291aed0103026f25221486fafbe037,,medium,intake_unreviewed_not_KR,
AD1180075_MitigationofMagneto-Rayleigh-TaylorInstabilityGrowthinaTriple-N.pdf,AD1180075,Mitigationof Magneto Rayleigh Taylor Insta ility Growthina Triple N,6,1977272,0f97b437ead20d19d634aabc64110e81be839944bd4ea29854e8be9736aaceb2,10.1103/PhysRevE.104.L023201,medium,intake_unreviewed_not_KR,
AD1187201_TheMFiXbParticlebinbCellbMethodMFiXPICTheoryGuide.pdf,AD1187201,The MFi X Particle in Cell Method MFi XPICTheory Guide,32,1494023,8adceb05e2820cf365262be5a6269b852ce4313b0482ab71ded3c22a65a127de,10.2172/1630414,medium,intake_unreviewed_not_KR,
AD1206892_Particle-in-CellModelingofOmegaExperimentsonAblationofbPlasm.pdf,AD1206892,Particle-in-Cell Modeling of Omega Experiments on Ablation of Plasmas,9,3907161,153394e55da3a2661b9051fe4624542fc07e39e31b65c8cb14ad2eb5986ae228,10.1109/TPS.2022.3220184,medium,intake_unreviewed_not_KR,
