ARTIFACT                                                                                              STATUS  DETAIL
--------------------------------------------------------------------------------------------------------------------
adaptive_validity_pf1000_seeded_power_domain_0p5us_2026_05_17.json                                    SKIP    not a first-principles artifact
experimental_machine_shot_family_all_1ns_2026_05_16.json                                              SKIP    not a first-principles artifact
experimental_machine_shot_family_all_1us_cap5000_2026_05_16.json                                      SKIP    not a first-principles artifact
experimental_numerical_family_pf1000_mesh_probe_2026_05_16.json                                       EXEMPT  exempt: numerical-family probe: sweeps mesh/timestep variants only, carries no candidate physics ledger or source-backed manifest
experimental_numerical_family_pf1000_mesh_smoke_2026_05_16.json                                       EXEMPT  exempt: numerical-family probe: sweeps mesh/timestep variants only, carries no candidate physics ledger or source-backed manifest
experimental_numerical_family_pf1000_timestep_probe_2026_05_16.json                                   EXEMPT  exempt: numerical-family probe: sweeps mesh/timestep variants only, carries no candidate physics ledger or source-backed manifest
experimental_reproducibility_pf1000_probe_2026_05_16.json                                             EXEMPT  exempt: reproducibility probe: measures run-to-run determinism only, carries no candidate physics ledger or source-backed manifest
engineering_firm_first_principles_long_probe_2026_05_16.json                                          EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
engineering_firm_first_principles_probe_2026_05_16.json                                               EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_auluck_power_port_100ns_2026_05_18.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_auluck_power_port_1ns_2026_05_18.json                               EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_candidate_breakdown_100ns_2026_05_17.json                           EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_candidate_breakdown_10ns_2026_05_17.json                            EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_candidate_breakdown_1ns_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_candidate_breakdown_1us_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_candidate_breakdown_6us_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_combined_cfl_source_zero_marder_2026_05_17.json                     EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_implicit_vacuum_cfl_10ns_2026_05_17.json                            EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_implicit_vacuum_cfl_1ns_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_implicit_vacuum_cfl_floor_debug_2026_05_17.json                     EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_seeded_power_domain_12us_2026_05_18.json                            EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_seeded_power_domain_1ns_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_seeded_power_domain_1us_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_proof_pf1000_seeded_power_domain_6us_2026_05_17.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_zero_pf1000_combined_cfl_short_probe_2026_05_16.json                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_limiter_zero_pf1000_ns_probe_2026_05_16.json                                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_state_checkpoint_pf1000_probe_2026_05_16.json                                            EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_gv_pf24_vacuum_cfl_100ns_probe_2026_05_16.json                                EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_gv_pf24_vacuum_cfl_1us_probe_2026_05_16.json                                  EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_power_port_probe_2026_05_17.json                                       EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_py312_2026_05_16.json                                                  EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_vacuum_cfl_100ns_probe_2026_05_16.json                                 EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_vacuum_cfl_10ns_probe_2026_05_16.json                                  EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_vacuum_cfl_1us_probe_2026_05_16.json                                   EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_whole_shot_pf1000_vacuum_cfl_ns_probe_2026_05_16.json                                    EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_2step_probe_2026_05_16.json                                                          EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_3d_py312_microsecond_request_probe_2026_05_16.json                                   EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_3d_py312_pf1000_geometry_probe_2026_05_16.json                                       EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_3d_py312_startup_probe_2026_05_16.json                                               EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_pf1000_akel_smoke.json                                                               EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
first_principles_readiness_2026_05_15.json                                                            EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
gv_pf24_first_principles_3d_probe_2026_05_16.json                                                     EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
gv_pf24_first_principles_3d_probe_8step_2026_05_16.json                                               EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
audit_experimental_whole_shot_smoke.json                                                              EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
audit_first_principles_3d_smoke.json                                                                  EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
audit_limiter_proof_auluck_power_port_1us_2026_05_18.json                                             EXEMPT  exempt: archived under results/archive_stale_pre_ssr*: quarantined stale evidence, removed from the active root, cannot support first-principles acceptance
experimental_checkpoint_restart_family_pf1000_ns_probe_2026_05_16.json                                EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
experimental_checkpoint_restart_family_pf1000_probe_2026_05_16.json                                   EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
experimental_checkpoint_restart_gv_pf24_1us_probe_2026_05_17.json                                     EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
experimental_checkpoint_restart_gv_pf24_6us_probe_2026_05_17.json                                     EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
experimental_checkpoint_restart_gv_pf24_l0875_r15_p1_6us_probe_2026_05_17.json                        EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
experimental_checkpoint_restart_pf1000_probe_2026_05_16.json                                          EXEMPT  exempt: checkpoint/restart probe: exercises restart equivalence only, carries no candidate physics ledger or source-backed manifest
