path,title,relevance,subject_class,sha256,page_count,doi,destination,duplicate_of,already_in_kr,error
2026-05-12-user-ingest/apostolou2020.pdf,The art of flirting_ What are the traits that make it effective?,stage_for_review_not_physics_evidence,unclassified_review_needed,15b0d057bee95db9c10110a4dec2a9f095f73851ded9b48411e5b648d833ee09,7,10.1016/j.paid.2020.109866,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/apostolou2020.pdf,,,
2026-05-12-user-ingest/symons1994.pdf,Author(s): Douglas K. Symons,promote_to_kr_source_review,dpf_plasma_physics,ff763c329872aa446cd0d6604dfdca1a0ad9208db8da571d562a71829e70b020,3,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/symons1994.pdf,,,
2026-05-12-user-ingest/kasperczuk2002.pdf,"Final stages of the plasma column evolution in the plasma-focus PF1000 device - Plasma Science, IEEE Transactions on",promote_to_kr_source_review,dpf_plasma_physics,fa128cfdd160ea743b15469428184d0a7d767d4b0db72a459a6d2abc9d619dca,2,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/kasperczuk2002.pdf,,,
2026-05-12-user-ingest/10.1088@1742-6596@370@1@012059.pdf,Dynamics of the expansion discharge originated by a dense,stage_for_review_not_physics_evidence,unclassified_review_needed,08712d78305ffcc2edf3e54f0e8879bd6045982032b09d9b02462462e8f6bfdc,9,10.1088/1742-6596/370/1/012059,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/10.1088@1742-6596@370@1@012059.pdf,,,
2026-05-12-user-ingest/auluck2014.pdf,"Dense Plasma Focus: A question in search of answers, a technology in search of applications",promote_to_kr_source_review,dpf_plasma_physics,7e3643366bb7eeebc789a156891142d4a543beab3ab2fdcd160b345cf89afa5b,11,10.1142/S2010194514603159,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/auluck2014.pdf,,,
2026-05-12-user-ingest/trunk1975.pdf,This content has been downloaded from IOPscience. Please scroll down to see the full text.,promote_to_kr_source_review,dpf_plasma_physics,ec4e13982a43dc7e06dc0cf00ac6449b4a8b423f17ad0193dcc7561d5f73eb5f,13,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/trunk1975.pdf,,,
2026-05-12-user-ingest/sadowski2008.pdf,The main issues of research on dense magnetized plasmas in PF discharges,promote_to_kr_source_review,dpf_plasma_physics,dec2781c1fccf51cf63311f4eedc9f839cf9e49f0b5760d9acb974c9a858291f,14,10.1088/0963-0252/17/2/024001,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/sadowski2008.pdf,,,
2026-05-12-user-ingest/alexiou2002.pdf,302_1.pdf,promote_to_kr_source_review,dpf_plasma_physics,98ebde8ee07e5f47341bb7c3fb94951c0dd8449bb167b7e4d5c73a20c35a4bac,9,10.1063/1.1525469,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/alexiou2002.pdf,,,
2026-05-12-user-ingest/lindemuth1982.pdf,Shock dynamics and neutron production in an explosive generator driven dense,promote_to_kr_source_review,dpf_plasma_physics,3f4e364067154eb35ad05b8263dd840901ac20be472ac276ed74cd08c24951cd,5,10.1063/1.93149,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/lindemuth1982.pdf,,,
2026-05-12-user-ingest/kubes2020.pdf,Characteristics of closed currents and magnetic fields outside the dense pinch column in a plasma focus discharge,promote_to_kr_source_review,dpf_plasma_physics,40d59f2dae61876064666dd6ebdceea12c7b5fb26557bbc8797c2502b7509394,11,10.1063/5.0010249,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/kubes2020.pdf,,,
