ID,Category,Title,Authors,Year,DOI,ArXiv,Abstract,Page Count,Methods,Domain Tags
56,01-Core-DPF,Accelerating kinetic plasma simulations with machine-learning-generated initial conditions,,2026,10.1063/5.0304576,,"Computational models of plasma technologies often solve for the system operating conditions by time-stepping an initial value problem to aquasi-steady solution. However, the strongly nonlinear and multi-timescale nature of plasma dynamics often necessitate millions, or evenhundreds of millions, of steps to reach convergence, reducing the effectiveness of these simulations for computer-aided engineering. We con-sider acceleration of kinetic plasma simulations via data-driven machine-learning-g",18,simulation; experimental; machine_learning,dense_plasma_focus; plasma_physics; nuclear_fusion; machine_learning; turbulence; particle_methods; ai_scientific_discovery
18,01-Core-DPF,Deuterium–argon admixture for plasma focus neutron generation,Muhammad Luqman Haqqim Omar,2026,10.1140/epjp/s13360-026-07342-z,,"The plasma pinch generated by plasma focus discharge features a spatially asymmetric ion acceleration due to the rapidchange of the localized electromagnetic ﬁeld. The neutron emission is attributed to deuteron beam interaction at the proximitiesof the plasma pinch and thermonuclear reaction in the pinch. Neutron is produced by more than the thermonuclear reaction, withtwo phases of neutron emissions clearly identiﬁed to have correlated with at least two different mechanisms. We investigated th",11,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; diagnostics; electrode_materials
33,01-Core-DPF,JAP25-AR-06283 1..12,,2026,10.1063/5.0311453,,"In this work, the dynamics and formation mechanisms of Z-pinch plasma in a coaxial plasma gun were investigated. By using arrays ofmagnetic probes, calorimeters, and ballistic pendulums, the profiles of current and Lorentz force density, plasma momentum, and kineticenergy were detected. It was revealed that the flow Z-pinch was governed by a radial compression process consisting of two distinct stages.After being ejected from the inter-electrode gap, the plasma was first concentrated in the n",12,experimental; machine_learning,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; diagnostics; electrode_materials
59,01-Core-DPF,On modeling nonlinear phenomena under the,,2026,10.1209/0295-5075/ae3ee1,,"– The quadratic response function (QRF) of a dense plasma in a constant magneticﬁeld to an electromagnetic ﬁeld is considered. To d etermine this function, a self-consistent modelapproach was applied based on the use of the quadratic ﬂuctuation-dissipative theorem (FDT),frequency moments for the quadratic dense plasma reaction function, and explicit approximationfor QRF with a ﬁtting parameter. The conditions of using QRF for the interpretation of lab-oratory experiments on the study of nonl",6,experimental,dense_plasma_focus; plasma_physics; machine_learning
19,01-Core-DPF,"Bennett Vorticity: Analytic solutions to a flowing, nonlinear, Shear-Flow Stabilized Z-pinch equilibrium",Matt Russell,2025,,,,6,experimental,dense_plasma_focus; z_pinch; mhd; plasma_physics; nuclear_fusion; turbulence; physics_informed_ml
26,01-Core-DPF,DPF-Bi-RRT<sup>*</sup>: An Improved Path Planning Algorithm for Complex 3D Environments With Adaptive Sampling and Dual Potential Field Strategy,,2025,,,"This research work, we introduce a path planning algorithm called DPF-Bi-RRT∗whichintegrates a Dual Potential Field mechanism with a Targeted Sampling Strategy to address path planningissues in complex 3D spaces. The algorithm achieves a good trade off between the global path optimizationand precise local obstacle avoidance by combining dual-attraction and dual-repulsion mechanisms. Thealgorithm achieves effective exploration of path regions of high quality by dynamically adjusting thesampl",15,simulation; machine_learning; data_analysis,dense_plasma_focus; machine_learning
57,01-Core-DPF,Deuterium hybrid X-pinch driven by small dense plasma focus,"Jan Novotny,Vojtech Munzar,Jakub Cikhardt,Balzima Cikhardtova,Vojtech Juras,Pavel Kubes,Jakub Malir,Karel Rezac,Daniel Klir",2025,10.1088/1361-6587/ae2d96,,"ThisstudypresentsaproofoftheconceptofadeuteriumhybridX-pinchconfiguration,drivenbya3kJdenseplasmafocus(PFZ-200)attheCzechTechnicalUniversityinPrague.Thesystemconsistsoftwoopposingconicalelectrodesfilledwithdeuteriumgas,formingapoint-likesourceofDDfusionprotonsviaD(d,p)Treactions.Twoaxialanode–cathodegapsof3and5mmwereinvestigated.KeydiagnosticsincludedCR-39-basedprotonimaging,pinholecamera,andenergyspectrometry.ThesmallerA–Kgap(3mm)producedacompact,nearlycircularprotonsourcewithadiameterof1",14,experimental,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; electrode_materials
11,01-Core-DPF,Double 3 MJ dense plasma focus,,2025,10.1038/s41598-025-96736-7,,"typically composed of deuterium-tritium ( DT), in a controlled environment to sustain fusion reactions11–15. The primary devices used for MCF include Tokamaks, which utilize toroidal (doughnut-shaped) magnetic fields to confine plasma, achieving high stability and temperature. Stellarators employ complex, non-axisymmetric magnetic field geometries to maintain pl",12,experimental,dense_plasma_focus; mhd; plasma_physics; nuclear_fusion; radiation; pulsed_power; electrode_materials; turbulence
12,01-Core-DPF,Experimental investigation of plasma-electrode interactions on the ZaP-HD sheared-flow-stabilized Z-pinch device,Amierul Aqil Khairi; Uri Shumlak,2025,,,,15,experimental; machine_learning,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; electrode_materials
13,01-Core-DPF,Experimental results and analysis,,2025,10.1038/s41598-025-07939-x,,"accelerated into a multitude of micro beams, which collectively form a second pulse of fast ion beam with higher energies than the first, up to MeV , primarily directed away from the anode1,2. Thus, the first dynamics-induced pulse of fast ion beams is produced just before stagnation, while the second pulse is generated toward the end of the pinch phase, merging from a multitude of instability-produced micro ion beams.In a deuterium or deuterium-–tritium mix, fusion occurs via beam-target fu",12,experimental,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; electrode_materials
