Term,Total Frequency
fusion,1498
magnetic field,957
mhd,865
ionization,618
z-pinch,556
plasma focus,407
instability,341
electric field,319
deuterium,269
confinement,224
neutron yield,218
compression,196
magnetohydrodynamic,168
conductivity,151
neural network,136
tokamak,126
resistivity,117
turbulence,113
capacitor bank,89
snowplow,75
lee model,74
current sheath,66
surrogate model,64
tritium,64
particle-in-cell,53
physics-informed,48
bremsstrahlung,44
pinch radius,41
thomson scattering,37
monte carlo,36
deep learning,31
langmuir probe,31
sindy,30
inertial confinement,27
finite element,26
finite volume,25
variational,23
stellarator,22
circuit model,20
graph neural,19
magnetic confinement,19
uncertainty quantification,18
transfer learning,15
encoder,14
symbolic regression,12
ohmic heating,10
polynomial chaos,10
decoder,9
gaussian process,9
reinforcement learning,7
slug model,7
rayleigh-taylor,6
bayesian,5
random forest,5
autoencoder,4
kelvin-helmholtz,4
diffusion model,3
marx generator,3
